Section;h[mm];t[mm];r1[mm];r2[mm];r3[mm];r4[mm];A[cm2];ey[mm];ez[mm];Iy[cm4];Iyz[cm4];Iu[cm4];Iv[cm4];Ip[cm4];Ip,SC[cm4];α[deg];iy[mm];iyz[mm];iu[mm];iv[mm];ip[mm];ip,SC[mm];max Sy[cm3];max Su[cm3];max Sv[cm3];Wy,min[cm3];Wy,max[cm3];Wv,min[cm3];Wv,max[cm3];Wy[cm3];Wu[cm3];Wv[cm3];Wy,cat[cm3];Ay[cm2];Au[cm2];Av[cm2];ySC[mm];It[cm4];Wt[cm3];max ω[cm2];Iω[cm6];iω[mm];Wω[cm4];max Sω[cm4];rv[mm];ru,SC[mm];Wpl,y[cm3];Wpl,y,pure[cm3];Wpl,u[cm3];Wpl,v[cm3];αpl,y;αpl,y,pure;αpl,u;αpl,v;Apl,y[cm2];Apl,u[cm2];Npl[kN];Vpl,y[kN];Vpl,u[kN];Mpl,y[kNm];Mpl,u[kNm];Mpl,v[kNm];ypl[mm];zpl[mm];upl[mm];vpl[mm];Nu[kN];G[kg/m];Am[m2/m];V[cm3/m];Am/V[1/m]
L 45x45x7;45,00;7,00;7,00;3,50;0,00;0,00;5,86;13,60;31,40;10,40;6,04;16,44;4,36;20,80;32,77;-45,00;13,30;10,20;16,70;8,60;18,80;23,60;3,37;4,21;1,07;-2,64;3,20;-2,27;2,71;2,64;5,17;2,27;3,31;1,84;2,62;2,46;-10,10;0,90;1,28;0,00;0,00;0,00;0,00;0,00;30,50;59,00;6,06;4,99;8,54;4,36;2,29;1,89;1,65;1,93;2,90;4,11;137,78;39,41;55,74;1,43;1,98;1,02;-7,10;7,10;0,00;0,00;137,78;4,60;0,17;586,00;296,93
L 50x50x4;50,00;4,00;7,00;3,50;0,00;0,00;3,89;13,60;36,40;8,97;5,28;14,25;3,70;17,95;28,39;-45,00;15,20;11,70;19,10;9,70;21,50;27,00;2,55;3,18;0,82;-2,00;2,72;-1,93;2,11;2,00;4,03;1,93;2,46;1,19;1,59;1,60;-11,60;0,20;0,50;0,00;0,00;0,00;0,00;0,00;37,60;70,40;4,53;3,82;6,52;3,28;2,26;1,91;1,62;1,70;1,92;2,72;91,48;26,05;36,84;1,06;1,50;0,78;-9,60;9,60;-0,10;0,00;91,48;3,10;0,19;389,00;498,72
L 50x50x5;50,00;5,00;7,00;3,50;0,00;0,00;4,80;14,00;36,00;10,96;6,45;17,41;4,52;21,93;34,71;-45,00;15,10;11,60;19,00;9,70;21,40;26,90;3,13;3,92;1,01;-2,46;3,21;-2,28;2,57;2,46;4,92;2,28;3,05;1,48;2,01;1,99;-11,50;0,38;0,77;0,00;0,00;0,00;0,00;0,00;36,30;68,80;5,58;4,67;7,98;4,03;2,27;1,90;1,62;1,77;2,38;3,36;112,87;32,22;45,57;1,31;1,84;0,95;-9,20;9,20;-0,10;0,00;112,87;3,80;0,19;480,00;404,17
L 50x50x6;50,00;6,00;7,00;3,50;0,00;0,00;5,69;14,50;35,50;12,84;7,53;20,37;5,31;25,68;40,61;-45,00;15,00;11,50;18,90;9,70;21,20;26,70;3,69;4,62;1,18;-2,90;3,67;-2,60;3,00;2,90;5,76;2,60;3,61;1,76;2,44;2,37;-11,50;0,65;1,08;0,00;0,00;0,00;0,00;0,00;35,20;67,70;6,60;5,49;9,38;4,75;2,28;1,90;1,63;1,83;2,82;3,99;133,78;38,26;54,11;1,55;2,17;1,12;-8,70;8,70;0,00;0,00;133,78;4,50;0,19;569,00;340,95
L 50x50x7;50,00;7,00;7,00;3,50;0,00;0,00;6,56;14,90;35,10;14,61;8,52;23,14;6,09;29,23;46,14;-45,00;14,90;11,40;18,80;9,60;21,10;26,50;4,23;5,29;1,35;-3,32;4,10;-2,90;3,41;3,32;6,54;2,90;4,16;2,05;2,90;2,75;-11,40;1,01;1,45;0,00;0,00;0,00;0,00;0,00;34,10;66,40;7,59;6,27;10,72;5,45;2,29;1,89;1,64;1,88;3,25;4,60;154,23;44,16;62,46;1,78;2,49;1,28;-8,30;8,30;0,00;0,00;154,23;5,10;0,19;656,00;295,73
L 50x50x8;50,00;8,00;7,00;3,50;0,00;0,00;7,41;15,20;34,80;16,28;9,43;25,71;6,85;32,56;51,29;-45,00;14,80;11,30;18,60;9,60;20,90;26,30;4,74;5,93;1,50;-3,72;4,50;-3,18;3,80;3,72;7,27;3,18;4,68;2,34;3,36;3,12;-11,20;1,48;1,86;0,00;0,00;0,00;0,00;0,00;33,20;64,80;8,55;7,01;12,00;6,14;2,30;1,89;1,65;1,93;3,68;5,20;174,20;49,93;70,61;2,01;2,79;1,44;-7,80;7,80;0,00;0,00;174,20;5,80;0,19;741,00;261,81
L 50x50x9;50,00;9,00;7,00;3,50;0,00;0,00;8,24;15,60;34,40;17,86;10,25;28,11;7,61;35,72;56,09;-45,00;14,70;11,20;18,50;9,60;20,80;26,10;5,23;6,54;1,66;-4,11;4,87;-3,45;4,18;4,11;7,95;3,45;5,20;2,64;3,86;3,48;-11,10;2,07;2,30;0,00;0,00;0,00;0,00;0,00;32,20;63,60;9,47;7,72;13,22;6,80;2,30;1,88;1,66;1,97;4,10;5,79;193,71;55,56;78,57;2,23;3,07;1,59;-7,30;7,30;0,10;0,00;193,71;6,50;0,19;824,00;235,44
L 55x55x4;55,00;4,00;8,00;4,00;0,00;0,00;4,31;14,70;40,30;12,00;7,05;19,05;4,95;24,00;37,93;-45,00;16,70;12,80;21,00;10,70;23,60;29,70;3,10;3,86;1,01;-2,43;3,36;-2,38;2,57;2,43;4,90;2,38;2,98;1,31;1,73;1,77;-12,70;0,22;0,55;0,00;0,00;0,00;0,00;0,00;42,40;78,30;5,49;4,65;7,95;3,99;2,26;1,91;1,62;1,68;2,12;3,00;101,26;28,76;40,68;1,29;1,81;0,95;-10,70;10,70;-0,20;0,00;101,26;3,40;0,21;431,00;494,20
L 55x55x5;55,00;5,00;8,00;4,00;0,00;0,00;5,32;15,20;39,80;14,71;8,66;23,37;6,06;29,43;46,56;-45,00;16,60;12,80;21,00;10,70;23,50;29,60;3,82;4,76;1,23;-3,00;3,98;-2,82;3,14;3,00;6,01;2,82;3,70;1,63;2,19;2,19;-12,70;0,42;0,85;0,00;0,00;0,00;0,00;0,00;40,90;76,80;6,79;5,71;9,75;4,91;2,27;1,91;1,62;1,74;2,63;3,71;125,00;35,62;50,37;1,60;2,24;1,16;-10,30;10,30;-0,10;0,00;125,00;4,20;0,21;532,00;400,38
L 55x55x6;55,00;6,00;8,00;4,00;0,00;0,00;6,31;15,60;39,40;17,29;10,16;27,44;7,13;34,57;54,69;-45,00;16,60;12,70;20,90;10,60;23,50;29,40;4,51;5,63;1,45;-3,54;4,56;-3,23;3,68;3,54;7,06;3,23;4,39;1,95;2,65;2,61;-12,60;0,72;1,20;0,00;0,00;0,00;0,00;0,00;39,60;75,30;8,05;6,72;11,48;5,80;2,27;1,90;1,63;1,80;3,12;4,41;148,26;42,33;59,87;1,89;2,65;1,37;-9,80;9,80;-0,10;0,00;148,26;5,00;0,21;631,00;337,56
